City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,hammerfest,70.6634,23.6821,-0.75,86,100,1.54,NO,1699923412
353,hasaki,35.7333,140.8333,15.16,38,0,4.32,JP,1699923413
354,pariaman,-0.619,100.12,26.03,87,73,1.3,ID,1699923413
355,island harbour,50.724,-1.2758,13.85,86,38,3.13,GB,1699923413
356,manokwari,-0.8667,134.0833,28.92,72,100,2.48,ID,1699923413
357,pokrovskoye,47.4157,38.8971,7.65,85,100,1.42,RU,1699923413
358,mbouda,5.6258,10.2552,16.53,91,62,0.61,CM,1699923414
359,wulingyuan,29.3494,110.5441,9.1,76,0,0.4,CN,1699923414
360,east ballina,-28.8667,153.5833,27.11,70,66,4.3,AU,1699923414
361,ramadi,33.4226,43.3058,21.47,33,88,1.51,IQ,1699923414
